"","cpmy_1","cpmy_2","cpmy_3","cpmy_4","cpmy_5","cpmy_6","cpmy_7","cpmy_8","cpmy_9","cpmy_10","cpmy_11","cpmy_12","cpmy_13","cpmy_14","cpmy_15","cpmy_16","cpmy_17","cpmy_18","cpmy_19","cpmy_20","cpmy_21","cpmy_22","cpmy_23","cpmy_24","cpmy_25","cpmy_26","cpmy_27","cpmy_28","cpmy_29","cpmy_30","cpmy_31","cpmy_32","cpmy_33","cpmy_34","cpmy_35","cpmy_36","cpmy_37","cpmy_38","cpmy_39","cpmy_40","cpmy_41","cpmy_42","cpmy_43","cpmy_44","cpmy_45","cpmy_46","cpmy_47","cpmy_48","ud_1","ud_2","ud_3","ud_4","ud_5","ud_6","ud_7","ud_8","RHS","Sense"
"c_ud_1","+ 18.75","0","+ 18.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","+ 18.75","0","+ 18.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","+ 1","0","0","0","0","0","0","0",30,">="
"c_ud_2","0","+ 62.5","0","+ 62.5","+ 62.5","+ 62.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","+ 62.5","0","+ 62.5","+ 62.5","+ 62.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","+ 1","0","0","0","0","0","0",20,">="
"c_ud_3","0","0","0","0","0","0","+ 18.75","0","+ 18.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","+ 18.75","0","+ 18.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","+ 1","0","0","0","0","0",30,">="
"c_ud_4","0","0","0","0","0","0","0","+ 62.5","0","+ 62.5","+ 62.5","+ 62.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","+ 62.5","0","+ 62.5","+ 62.5","+ 62.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","+ 1","0","0","0","0",20,">="
"c_ud_5","0","0","0","0","0","0","0","0","0","0","0","0","+ 18.75","0","+ 18.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","+ 18.75","0","+ 18.75","0","0","0","0","0","0","0","0","0","0","0","0","0","+ 1","0","0","0",30,">="
"c_ud_6","0","0","0","0","0","0","0","0","0","0","0","0","0","+ 62.5","0","+ 62.5","+ 62.5","+ 62.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","+ 62.5","0","+ 62.5","+ 62.5","+ 62.5","0","0","0","0","0","0","0","0","0","0","0","+ 1","0","0",20,">="
"c_ud_7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","+ 18.75","0","+ 18.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","+ 18.75","0","+ 18.75","0","0","0","0","0","0","0","0","0","+ 1","0",30,">="
"c_ud_8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","+ 62.5","0","+ 62.5","+ 62.5","+ 62.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","+ 62.5","0","+ 62.5","+ 62.5","+ 62.5","0","0","0","0","0","0","0","+ 1",20,">="
