Problem:    
Rows:       6374
Columns:    1664
Non-zeros:  34364
Status:     OPTIMAL
Objective:  Z = 80000 (MINimum)

   No.   Row name   St   Activity     Lower bound   Upper bound    Marginal
------ ------------ -- ------------- ------------- ------------- -------------
   135 c_uf_135     NU             0                           0       -140000 
   136 c_uf_136     NU             0                           0       -115000 
   137 c_uf_137     NU             0                           0        -50000 
   138 c_uf_138     NU             0                           0       -128889 
   139 c_uf_139     NU             0                           0       -113333 
   140 c_uf_140     NU             0                           0       -116667 
   141 c_uf_141     NU             0                           0       -100000 
   142 c_uf_142     NU             0                           0      -77777.8 
   143 c_uf_143     NU             0                           0      -66666.7 
   144 c_uf_144     NU             0                           0      -83333.3 
   145 c_uf_145     NU             0                           0        -90000 
   146 c_uf_146     NU             0                           0        -65000 
   147 c_uf_147     NU             0                           0      -83333.3 
   148 c_uf_148     NU             0                           0      -83333.3 
   149 c_uf_149     NU             0                           0      -73333.3 
   150 c_uf_150     NU             0                           0        -75000 
   151 c_uf_151     NU             0                           0        -50000 
   152 c_uf_152     NU             0                           0      -33333.3 
   153 c_uf_153     NU             0                           0        -25000 
   154 c_uf_154     NU             0                           0        -50000 
   155 c_uf_155     NU             0                           0        -40000 
   156 c_uf_156     NU             0                           0        -25000 
   157 c_uf_157     NU             0                           0      -33333.3 
   158 c_uf_158     NU             0                           0        -50000 
   159 c_uf_159     NU             0                           0        -40000 
   160 c_uf_160     NU             0                           0        -25000 
   161 c_uf_161     NU             0                           0       -166667 
   162 c_uf_162     NU             0                           0       -152778 
   163 c_uf_163     NU             0                           0       -136111 
   164 c_uf_164     NU             0                           0       -152778 
   165 c_uf_165     NU             0                           0       -170000 
   166 c_uf_166     NU             0                           0       -140000 
   167 c_uf_167     NU             0                           0        -75000 
   168 c_uf_168     NU             0                           0       -158889 
   169 c_uf_169     NU             0                           0       -143333 
   170 c_uf_170     NU             0                           0       -141667 
   171 c_uf_171     NU             0                           0       -141667 
   172 c_uf_172     NU             0                           0       -102778 
   173 c_uf_173     NU             0                           0       -108333 
   174 c_uf_174     NU             0                           0       -125000 
   175 c_uf_175     NU             0                           0       -120000 
   176 c_uf_176     NU             0                           0       -115000 
   177 c_uf_177     NU             0                           0        -25000 
   178 c_uf_178     NU             0                           0       -128889 
   179 c_uf_179     NU             0                           0       -113333 
   180 c_uf_180     NU             0                           0       -116667 
   181 c_uf_181     NU             0                           0        -75000 
   182 c_uf_182     NU             0                           0      -77777.8 
   183 c_uf_183     NU             0                           0      -66666.7 
   184 c_uf_184     NU             0                           0      -83333.3 
   185 c_uf_185     NU             0                           0        -50000 
   186 c_uf_186     NU             0                           0        -65000 
   187 c_uf_187     NU             0                           0      -83333.3 
   188 c_uf_188     NU             0                           0      -83333.3 
   189 c_uf_189     NU             0                           0      -73333.3 
   190 c_uf_190     NU             0                           0        -75000 
   191 c_uf_191     NU             0                           0        -25000 
   192 c_uf_192     NU             0                           0      -33333.3 
   193 c_uf_193     NU             0                           0        -25000 
   194 c_uf_194     NU             0                           0        -25000 
   195 c_uf_195     NU             0                           0        -40000 
   196 c_uf_196     NU             0                           0        -25000 
   197 c_uf_197     NU             0                           0      -33333.3 
   198 c_uf_198     NU             0                           0        -25000 
   199 c_uf_199     NU             0                           0        -40000 
   200 c_uf_200     NU             0                           0        -25000 
   201 c_uf_201     NU             0                           0       -141667 
   202 c_uf_202     NU             0                           0       -127778 
   203 c_uf_203     NU             0                           0       -108333 
   204 c_uf_204     NU             0                           0       -125000 
   205 c_uf_205     NU             0                           0       -140000 
   206 c_uf_206     NU             0                           0       -115000 
   207 c_uf_207     NU             0                           0        -50000 
   208 c_uf_208     NU             0                           0       -128889 
   209 c_uf_209     NU             0                           0       -113333 
   210 c_uf_210     NU             0                           0       -116667 
   211 c_uf_211     NU             0                           0       -100000 
   212 c_uf_212     NU             0                           0      -77777.8 
   213 c_uf_213     NU             0                           0      -66666.7 
   214 c_uf_214     NU             0                           0      -83333.3 
   215 c_uf_215     NU             0                           0        -90000 
   216 c_uf_216     NU             0                           0        -65000 
   217 c_uf_217     B              0                           0 
   218 c_uf_218     NU             0                           0      -83333.3 
   219 c_uf_219     NU             0                           0      -73333.3 
   220 c_uf_220     NU             0                           0        -75000 
   221 c_uf_221     NU             0                           0        -50000 
   222 c_uf_222     NU             0                           0      -33333.3 
   223 c_uf_223     NU             0                           0        -25000 
   224 c_uf_224     NU             0                           0        -50000 
   225 c_uf_225     NU             0                           0        -40000 
   226 c_uf_226     NU             0                           0        -25000 
   227 c_uf_227     NU             0                           0      -33333.3 
   228 c_uf_228     NU             0                           0        -50000 
   229 c_uf_229     NU             0                           0        -40000 
   230 c_uf_230     NU             0                           0        -25000 
   231 c_uf_231     NU             0                           0         < eps
   232 c_uf_232     B              0                           0 
   233 c_uf_233     NU             0                           0         < eps
   234 c_uf_234     NU             0                           0         < eps
   235 c_uf_235     B              0                           0 
   236 c_uf_236     B              0                           0 
   237 c_uf_237     B              0                           0 
   238 c_uf_238     B              0                           0 
   239 c_uf_239     B              0                           0 
   240 c_uf_240     B              0                           0 
   241 c_uf_241     NU             0                           0       -141667 
   242 c_uf_242     NU             0                           0       -127778 
   243 c_uf_243     NU             0                           0       -108333 
   244 c_uf_244     NU             0                           0       -125000 
   245 c_uf_245     NU             0                           0       -140000 
   246 c_uf_246     NU             0                           0       -115000 
   247 c_uf_247     NU             0                           0        -50000 
   248 c_uf_248     NU             0                           0       -128889 
   249 c_uf_249     NU             0                           0       -113333 
   250 c_uf_250     NU             0                           0       -116667 
   251 c_uf_251     NU             0                           0       -100000 
   252 c_uf_252     NU             0                           0      -77777.8 
   253 c_uf_253     NU             0                           0      -66666.7 
   254 c_uf_254     NU             0                           0      -83333.3 
   255 c_uf_255     NU             0                           0        -90000 
   256 c_uf_256     NU             0                           0        -65000 
   257 c_uf_257     NU             0                           0         < eps
   258 c_uf_258     NU             0                           0      -83333.3 
   259 c_uf_259     NU             0                           0      -73333.3 
   260 c_uf_260     NU             0                           0        -75000 
   261 c_uf_261     NU             0                           0        -50000 
   262 c_uf_262     NU             0                           0      -33333.3 
   263 c_uf_263     NU             0                           0        -25000 
   264 c_uf_264     NU             0                           0        -50000 
   265 c_uf_265     NU             0                           0        -40000 
   266 c_uf_266     NU             0                           0        -25000 
   267 c_uf_267     NU             0                           0      -33333.3 
   268 c_uf_268     NU             0                           0        -50000 
   269 c_uf_269     NU             0                           0        -40000 
   270 c_uf_270     NU             0                           0        -25000 
   271 c_uf_271     NU             0                           0         < eps
   272 c_uf_272     NU             0                           0         < eps
   273 c_uf_273     NU             0                           0         < eps
   274 c_uf_274     NU             0                           0         < eps
   275 c_uf_275     NU             0                           0         < eps
   276 c_uf_276     B          -0.23                           0 
   277 c_uf_277     B          -0.25                           0 
   278 c_uf_278     B           -0.5                           0 
